country_code,region_id,income_id,info_system_SW_mgmt,national_waste_agency,national_law_for_SW_mgmt,PPP_rules_and_regulations,population,MSW_generated_tons_year,compost_percent,recycling_percent,gdp_inhab
VGB,LCN,HighIncome,yes,yes,yes,yes,20645.0,21099.19,0.0,0.0,35895.51301587302
VIR,LCN,HighIncome,no,yes,yes,yes,105784.0,146500.0,0.0,0.0,35895.51301587302
VNM,EAS,LowMiddleIncome,no,yes,yes,yes,86932500.0,9570300.0,15.0,23.0,1887.73
VUT,EAS,LowMiddleIncome,no,yes,yes,yes,270402.0,70225.489,0.0,37.0,2873.69
WSM,EAS,MiddleUpperIncome,no,yes,yes,yes,187665.0,27399.09,0.0,36.0,3932.76
XKX,ECS,LowMiddleIncome,yes,yes,yes,yes,1801800.0,319000.0,0.0,0.0,3956.75
YEM,MEA,LowIncome,no,yes,yes,no,27584213.0,4836820.0,0.0,8.0,432.39
ZAF,SSF,MiddleUpperIncome,yes,yes,yes,no,51729345.36,18457232.0,0.0,28.0,8142.55
ZMB,SSF,LowMiddleIncome,no,no,yes,no,14264756.0,2608268.0,0.0,0.0,1895.38
ZWE,SSF,LowIncome,no,no,yes,no,12500525.0,1449752.0,0.0,16.0,1185.47
