country_code,region_id,income_id,compo_organic,compo_glass,compo_metal,compo_other,compo_paper_cardboard,compo_plastic,info_system_SW_mgmt,national_waste_agency,national_law_for_SW_mgmt,PPP_rules_and_regulations,population,MSW_generated_tons_year,compost_percent,recycling_percent,gdp_inhab
SEN,SSF,LowIncome,12.0,2.0,2.0,68.0,5.0,9.0,no,no,yes,yes,15411614.0,2454059.25,0.0,0.0,1092.25
SGP,EAS,HighIncome,10.51,0.93,19.12,32.3,14.86,10.58,yes,yes,yes,yes,5607283.0,7704300.0,0.0,61.0,53353.84
SLB,EAS,LowMiddleIncome,42.8,6.65,13.15,3.7,6.45,22.35,no,yes,yes,no,563513.0,179971.964375,0.0,0.0,1598.65
SLV,LCN,LowMiddleIncome,65.0,4.0,2.0,7.0,12.0,10.0,no,yes,yes,yes,6164626.0,1648996.18,0.0,0.0,3502.01
SMR,ECS,HighIncome,5.35,5.61,0.9,65.56,13.21,5.6,no,no,no,no,33203.0,17174.68,0.0,45.05,52596.22
SRB,ECS,MiddleUpperIncome,37.62,5.44,1.38,16.72,13.57,12.73,yes,yes,yes,yes,7095383.0,1840000.0,0.0,0.76,5821.82
SVK,ECS,HighIncome,42.0,19.0,2.0,1.0,25.0,11.0,yes,yes,yes,yes,5423801.0,1784000.0,7.29,7.62,19299.95
SYC,SSF,HighIncome,48.5,5.2,4.6,25.800000000000004,5.9,9.9,no,yes,yes,yes,88303.0,48000.0,0.0,0.0,14579.91
SYR,MEA,LowIncome,57.0,3.0,4.0,22.0,7.0,7.0,no,yes,yes,no,20824893.0,4500000.0,1.5,2.5,743.6455172413795
TCD,SSF,LowIncome,70.0,1.0,2.0,18.0,3.0,6.0,no,no,no,no,11887202.0,1358850.53,0.0,0.0,1063.55
TGO,SSF,LowIncome,38.0,2.0,4.0,42.0,4.0,10.0,no,yes,yes,no,7228915.0,1109030.45,1.8,2.0,589.97
THA,EAS,MiddleUpperIncome,65.52,3.04,1.85,4.74,7.6,17.59,no,yes,yes,yes,68657600.0,26853366.0,0.0,19.1,5928.18
TLS,EAS,LowMiddleIncome,43.6,5.5,10.0,9.3,10.9,16.5,no,yes,yes,yes,1268671.0,63875.0,0.0,0.0,2967.73
TON,EAS,MiddleUpperIncome,51.3,5.9,9.0,8.9,7.4,13.4,no,yes,yes,yes,104951.0,17238.20175,0.0,0.0,3870.74
TTO,LCN,HighIncome,27.15,10.15,3.74,17.19,22.6,19.17,yes,yes,yes,yes,1328100.0,727874.0,0.8,0.0,16203.56
TUN,MEA,LowMiddleIncome,68.0,2.0,4.0,5.0,10.0,11.0,yes,yes,yes,yes,11143908.0,2700000.0,5.0,4.0,4368.49
TUR,ECS,MiddleUpperIncome,64.0,2.0,1.0,24.0,6.0,3.0,no,yes,yes,yes,78271472.0,31283000.0,1.0,0.0,14341.26
TUV,EAS,MiddleUpperIncome,43.6,5.5,10.0,9.3,10.9,16.5,no,yes,yes,no,11097.0,3989.4865,0.0,15.0,3533.94
TWN,EAS,HighIncome,23.34,4.11,3.07,14.11,30.01,20.23,no,no,yes,yes,23434000.0,7336000.0,0.0,0.0,35895.51301587302
UGA,SSF,LowIncome,74.5,0.8,0.6,10.6,6.0,7.6,no,no,no,no,35093648.0,7045049.836,0.0,6.0,783.13
UKR,ECS,LowMiddleIncome,37.0,5.0,4.0,22.0,25.0,7.0,yes,yes,yes,yes,45004645.0,15242025.0,0.0,3.2,2755.28
URY,LCN,HighIncome,53.5,3.0,5.0,7.5,20.0,11.0,no,yes,yes,yes,3431552.0,1260139.5086500002,0.0,8.0,14093.6
USA,NAC,HighIncome,14.9,4.4,9.0,3.2,26.6,12.9,yes,yes,yes,yes,318563456.0,258000000.0,0.0,34.6,53114.47
UZB,ECS,LowMiddleIncome,40.0,3.0,2.0,17.5,17.5,2.5,no,yes,yes,yes,29774500.0,4000000.0,0.0,0.0,2098.07
VCT,LCN,MiddleUpperIncome,49.6,5.6,3.8,10.5,22.1,8.4,yes,yes,yes,no,109455.0,31561.34925,0.09,0.0,6662.69
VGB,LCN,HighIncome,6.5,18.1,8.6,4.8,33.5,6.3,yes,yes,yes,yes,20645.0,21099.19,0.0,0.0,35895.51301587302
VIR,LCN,HighIncome,46.0,7.0,7.0,12.0,15.0,13.0,no,yes,yes,yes,105784.0,146500.0,0.0,0.0,35895.51301587302
VNM,EAS,LowMiddleIncome,61.9,2.18,0.58,15.18,5.2,12.15,no,yes,yes,yes,86932500.0,9570300.0,15.0,23.0,1887.73
VUT,EAS,LowMiddleIncome,73.4,5.4,3.8,5.7,4.05,6.45,no,yes,yes,yes,270402.0,70225.489,0.0,37.0,2873.69
WSM,EAS,MiddleUpperIncome,42.6,2.2,8.8,19.4,7.2,13.0,no,yes,yes,yes,187665.0,27399.09,0.0,36.0,3932.76
XKX,ECS,LowMiddleIncome,42.0,6.0,6.0,20.0,8.0,11.0,yes,yes,yes,yes,1801800.0,319000.0,0.0,0.0,3956.75
YEM,MEA,LowIncome,65.0,1.0,6.0,6.0,7.0,10.0,no,yes,yes,no,27584213.0,4836820.0,0.0,8.0,432.39
ZAF,SSF,MiddleUpperIncome,16.381654627302726,5.200216370472019,16.9104608968452,45.02064556592234,9.396918237794267,7.090104301663433,yes,yes,yes,no,51729345.36,18457232.0,0.0,28.0,8142.55
ZWE,SSF,LowIncome,36.0,5.0,6.0,3.0,27.0,23.0,no,no,yes,no,12500525.0,1449752.0,0.0,16.0,1185.47
